organism_tidy_name,join,ref_seq,organism_name.x,ncbi_taxonomy.x,gtdb_taxonomy.x,gtdb_representative_of_species.x,gtdb_type_material.x,genome_representation,check_m_completeness.x,check_m_contamination.x,gc_percentage.x,genome_size.x,contig_count,country,date,isolation_source,spanned_gaps,unspanned_gaps,assembly_level,protein_count,gen_bank_assembly_id_accession_version,accession_number,regional_loaction,geographic_feature,environment_detail,tempurature,lat_long,temp_estimate,temp_cat,gyrA,nusA,infC,infA,otsA,dnaK,recA,dnaJ,aceF,deaD,infB,tig,rnr,dnaA,hupB,rbfA,yfiA,pnp,csp,aceE,desA,PsaB,cya_PsbA,PsaA,cya_PsaC,PsbB,PsbC,PsbO,bac_PsbA,D2_PsbD,PsaD,PsaE,bac_PsaC
Cyanobacterium_stanieri_PCC_7202,_000317655.1_,GCA_000317655.1,Cyanobacterium stanieri PCC 7202,d__Bacteria;p__Cyanobacteria;c__;o__Chroococcales;f__Geminocystaceae;g__Cyanobacterium;s__Cyanobacterium stanieri,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Cyanobacteriaceae;g__Cyanobacterium;s__Cyanobacterium stanieri,TRUE,type strain of species,full,99.52,0.22,38.66470716,3163381,1,Chad,2012-12-07,alkaline pod,0,0,Complete Genome,2886,GCA_000317655.1,ASM31765v1,Chad,alkaline pod,"thermal springs, aquatic",NA,NA,40,warm-hot,2,1,1,1,1,5,1,6,1,8,4,1,3,1,1,2,0,4,0,1,1,2,4,2,1,3,3,1,4,4,1,1,5
Cyanobium_gracile_PCC_6307,_000316515.1_,GCF_000316515.1,Cyanobium gracile PCC 6307,d__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Prochlorococcaceae;g__Cyanobium;s__Cyanobium gracile,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__Cyanobium;s__Cyanobium gracile,TRUE,type strain of species,full,99.73,0,68.70717851,3342364,1,USA: Wisconsin,2012-12-04,lake water,0,0,Complete Genome,3367,GCA_000316515.1,ASM31651v1,NA,NA,NA,NA,NA,0-15,cold-freezing,2,1,1,1,0,4,1,6,1,11,6,1,2,2,1,1,0,3,0,1,6,2,7,2,1,2,2,1,7,6,1,1,5
Cyanobium_sp_NS01,_014280235.1_,GCF_014280235.1,Cyanobium sp. NS01,d__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Synechococcaceae;g__Cyanobium;s__,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__NIES-981;s__NIES-981 sp014280235,TRUE,not type material,NA,100,0,67.93154656,2748087,NA,NA,NA,NA,NA,NA,Complete Genome,2819,GCA_014280235.1,ASM1428023v1,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,1,4,1,5,1,10,5,1,2,3,1,1,1,3,0,1,5,2,6,2,1,2,3,1,6,6,1,1,4
Cyanobium_sp._NIES-981,_900088535.1_,GCF_900088535.1,Cyanobium sp. NIES-981,d__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Synechococcaceae;g__Cyanobium;s__,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__NIES-981;s__NIES-981 sp900088535,TRUE,not type material,NA,99.73,0,68.61632046,3021545,NA,NA,NA,NA,NA,NA,Complete Genome,3055,GCA_900088535.1,ASM90008853v1,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,1,4,1,6,1,16,5,1,2,1,1,1,1,3,0,1,3,2,6,2,1,2,2,1,6,6,1,1,4
Cyanothece_sp_PCC_7425,_000022045.1_,GCF_000022045.1,Cyanothece sp. PCC 7425,d__Bacteria;p__Cyanobacteria;c__;o__Oscillatoriales;f__Cyanothecaceae;g__Cyanothece;s__,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Thermosynechococcales;f__Thermosynechococcaceae;g__Cyanothece;s__Cyanothece sp000022045,TRUE,not type material,NA,99.29,0.24,50.64841491,5786110,NA,NA,NA,NA,NA,NA,Complete Genome,5440,GCA_000022045.1,ASM2204v1,Sengal,rice fields,terrestrial soil,NA,NA,NA,NA,2,1,1,1,1,7,1,8,1,11,6,1,3,12,1,1,0,4,0,1,11,3,5,3,1,3,3,1,5,5,1,2,7
Cylindrospermopsis_curvispora_GIHE-G1,_014489415.1_,GCF_014489415.1,Cylindrospermopsis curvispora GIHE-G1,d__Bacteria;p__Cyanobacteria;c__;o__Nostocales;f__Aphanizomenonaceae;g__Cylindrospermopsis;s__Cylindrospermopsis curvispora,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Raphidiopsis;s__Raphidiopsis curvispora_A,TRUE,not type material,NA,100,0.22,40.08757249,4057210,NA,NA,NA,NA,NA,NA,Complete Genome,3580,GCA_014489415.1,ASM1448941v1,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,0,6,1,5,1,16,5,1,2,1,1,1,0,4,0,1,3,2,12,2,1,2,2,1,12,12,1,1,10
Cylindrospermopsis_raciborskii_CS-505,_001676585.1_,GCF_001676585.1,Cylindrospermopsis raciborskii CS-505,d__Bacteria;p__Cyanobacteria;c__;o__Nostocales;f__Aphanizomenonaceae;g__Cylindrospermopsis;s__Cylindrospermopsis raciborskii,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Raphidiopsis;s__Raphidiopsis raciborskii,FALSE,not type material,full,99.85,0.22,40.28235792,4159260,6,Australia: Sydney,2016-06-24,Freshwater Cyanobacterial Bloom,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,0,5,1,5,1,14,5,1,2,1,1,1,0,4,0,1,4,2,12,2,1,2,2,1,12,12,1,1,10
Cylindrospermopsis_raciborskii_ITEP-A1,_001586755.1_,GCF_001586755.1,Cylindrospermopsis raciborskii ITEP-A1,d__Bacteria;p__Cyanobacteria;c__;o__Nostocales;f__Aphanizomenonaceae;g__Cylindrospermopsis;s__Cylindrospermopsis raciborskii,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Raphidiopsis;s__Raphidiopsis brookii,FALSE,not type material,full,99.85,0.22,40.14602994,3605836,195,Brazil: Arcoverde reservoir; PE,2016-03-10,water,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,0,7,1,5,1,11,5,1,2,0,1,1,0,4,0,1,4,2,14,2,1,2,2,1,13,13,1,1,10
Cylindrospermopsis_raciborskii_N8,_018139025.1_,GCF_018139025.1,Cylindrospermopsis raciborskii N8,d__Bacteria;p__Cyanobacteria;c__;o__Nostocales;f__Aphanizomenonaceae;g__Cylindrospermopsis;s__Cylindrospermopsis raciborskii,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Raphidiopsis;s__Raphidiopsis raciborskii,FALSE,not type material,NA,99.85,0.22,40.12753897,3857174,NA,NA,NA,NA,NA,NA,Complete Genome,3442,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,0,5,1,5,1,14,5,1,2,1,1,1,0,4,0,2,4,2,13,2,1,2,2,1,13,12,1,1,9
Cylindrospermopsis_sp_CR12,_001432185.1_,GCF_001432185.1,Cylindrospermopsis sp. CR12,d__Bacteria;p__Cyanobacteria;c__;o__Nostocales;f__Aphanizomenonaceae;g__Cylindrospermopsis;s__,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Raphidiopsis;s__Raphidiopsis raciborskii,FALSE,not type material,full,99.93,0.22,40.08384901,3723955,171,Singapore,2015-11-05,freshwater reservoir,35,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,0,5,1,5,1,14,5,1,2,1,1,1,0,4,0,1,4,2,7,2,1,2,2,1,7,6,1,1,9
Cylindrospermum_stagnale_PCC_7417,_000317535.1_,GCF_000317535.1,Cylindrospermum stagnale PCC 7417,d__Bacteria;p__Cyanobacteria;c__;o__Nostocales;f__Nostocaceae;g__Cylindrospermum;s__Cylindrospermum stagnale,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Cylindrospermum;s__Cylindrospermum stagnale,TRUE,not type material,full,99.78,0.68,42.20267847,7610589,6,Sweden,2012-12-06,Soil; greenhouse; Stockholm; Sweden; 1972,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,0,10,2,10,1,15,5,1,2,2,1,1,0,5,0,2,5,2,8,2,1,2,2,1,8,7,1,1,10
Dactylococcopsis_salina_PCC_8305,_000317615.1_,GCF_000317615.1,Dactylococcopsis salina PCC 8305,d__Bacteria;p__Cyanobacteria;c__;o__Synechococcales;f__Synechococcaceae;g__Dactylococcopsis;s__Dactylococcopsis salina,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Rubidibacteraceae;g__Halothece;s__Halothece salina,TRUE,not type material,full,99.55,0.3,42.43836564,3781008,1,Israel,2012-12-07,solar lake,0,0,Complete Genome,3600,GCA_000317615.1,ASM31761v1,NA,NA,saltwater lake,NA,NA,40-60,warm-hot,2,1,1,1,1,5,1,8,1,12,5,1,2,3,1,1,1,3,0,1,3,2,5,2,1,4,4,1,5,5,1,1,5
Dolichospermum_circinale_AWQC131C,_000426905.1_,GCF_000426905.1,Dolichospermum circinale AWQC131C,d__Bacteria;p__Cyanobacteria;c__;o__Nostocales;f__Aphanizomenonaceae;g__Dolichospermum;s__Dolichospermum circinale,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Dolichospermum;s__Dolichospermum circinale,FALSE,not type material,full,99.78,0,37.3307587,4445648,472,Australia: New South Wales,2013-07-12,fresh water from Lake Cargelligo on the Lachlan River,351,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,18-25,temperate,2,1,1,1,1,6,1,6,1,13,5,1,2,0,1,1,0,4,1,1,4,2,2,2,1,2,2,1,2,3,1,1,9
Dolichospermum_circinale_AWQC310F,_000426925.1_,GCF_000426925.1,Dolichospermum circinale AWQC310F,d__Bacteria;p__Cyanobacteria;c__;o__Nostocales;f__Aphanizomenonaceae;g__Dolichospermum;s__Dolichospermum circinale,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Dolichospermum;s__Dolichospermum circinale,TRUE,not type material,full,99.78,0,37.4915833,4405846,372,Australia: Victoria; Milawa,2013-07-12,fresh water,290,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,1,7,1,6,1,11,5,1,3,0,2,1,0,4,0,1,4,2,5,2,1,2,2,1,5,4,1,1,11
Dolichospermum_flos-aquae_CCAP_1403_13F,_012516395.1_,GCF_012516395.1,Dolichospermum flos-aquae CCAP 1403/13F,d__Bacteria;p__Cyanobacteria;c__;o__Nostocales;f__Aphanizomenonaceae;g__Dolichospermum;s__,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Dolichospermum;s__Dolichospermum sp000312705,TRUE,not type material,NA,99.67,0.44,38.14745348,5220684,NA,NA,NA,NA,NA,NA,Complete Genome,4797,GCA_012516395.1,ASM1251639v1,NA,freshwater,freshwater,NA,NA,NA,NA,2,1,1,1,0,7,1,6,1,12,6,1,2,2,1,2,0,4,1,1,6,2,5,2,1,2,2,1,5,5,1,1,10
Dolichospermum_sp_UHCC_0315A,_008121535.1_,GCF_008121535.1,Dolichospermum sp. UHCC 0315A,d__Bacteria;p__Cyanobacteria;c__;o__Nostocales;f__Aphanizomenonaceae;g__Dolichospermum;s__,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Dolichospermum;s__Dolichospermum sp000312705,FALSE,not type material,NA,99.67,0.22,38.158412,5642022,NA,NA,NA,NA,NA,NA,Complete Genome,5082,GCA_008121535.1,ASM812153v1,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,0,7,1,8,1,14,5,1,2,2,2,2,0,4,1,1,5,2,5,2,1,2,2,1,5,5,1,1,11
Euhalothece_natronophila_Z-M001,_007904085.1_,GCF_007904085.1,Euhalothece natronophila Z-M001,d__Bacteria;p__Cyanobacteria;c__;o__Chroococcales;f__Aphanothecaceae;g__Euhalothece;s__Euhalothece natronophila,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Rubidibacteraceae;g__Halothece;s__Halothece natronophila,TRUE,not type material,NA,99.55,0.45,41.00299974,3524308,NA,NA,NA,NA,NA,NA,Complete Genome,3464,GCA_007904085.1,ASM790408v1,"Kenya, east afican rift valley, Lake Magadi",alkaline lake,"alkaline, soda",NA,NA,45-86,warm-hot,2,1,1,1,1,7,1,6,1,15,5,1,2,0,1,1,2,4,0,1,4,2,10,2,1,2,2,1,10,8,1,1,6
Fischerella_major_NIES-592,_001904645.1_,GCF_001904645.1,Fischerella major NIES-592,d__Bacteria;p__Cyanobacteria;c__;o__Nostocales;f__Hapalosiphonaceae;g__Fischerella;s__Fischerella major,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Fischerella;s__Fischerella thermalis,FALSE,not type material,full,99.76,0.48,41.02946394,5639496,41,Japan: Hagiwara; Tomiji,2016-12-14,water,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,1,0,9,1,9,1,10,5,1,2,1,1,1,0,4,0,2,2,4,7,4,1,8,8,1,7,6,1,1,9
Fischerella_muscicola_PCC_7414,_000317205.1_,GCF_000317205.1,Fischerella muscicola PCC 7414,d__Bacteria;p__Cyanobacteria;c__;o__Nostocales;f__Hapalosiphonaceae;g__Fischerella;s__Fischerella muscicola,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Fischerella;s__Fischerella muscicola,TRUE,not type material,full,99.52,0.68,41.25559869,6902954,271,New Zealand,2012-12-05,water; hot spring,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,>30,warm-hot,2,1,2,1,1,9,1,11,1,14,5,1,2,1,1,1,0,4,1,2,4,6,11,6,1,8,8,1,11,10,1,1,9
Fischerella_muscicola_SAG_1427-1_PCC_73103,_000317245.1_,GCF_000317245.1,Fischerella muscicola SAG 1427-1 = PCC 73103,d__Bacteria;p__Cyanobacteria;c__;o__Nostocales;f__Hapalosiphonaceae;g__Fischerella;s__Fischerella muscicola,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Pelatocladus;s__Pelatocladus muscicola_A,TRUE,not type material,full,99.52,0.96,40.3184727,7360256,524,India: near Allahabad,2012-12-05,soil; rice field,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,1,0,11,2,9,1,14,5,1,2,1,1,1,0,4,0,2,5,3,5,3,1,2,2,1,5,7,1,1,8
Fischerella_sp_NIES-3754,_001548455.1_,GCF_001548455.1,Fischerella sp. NIES-3754,d__Bacteria;p__Cyanobacteria;c__;o__Nostocales;f__Hapalosiphonaceae;g__Fischerella;s__,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Fischerella;s__Fischerella thermalis,FALSE,not type material,full,99.76,0.48,40.97819015,5826863,3,Japan:Nagano; Suwa; Suwa Shrine,2015-12-17,rock,0,0,Complete Genome,4952,GCA_001548455.1,ASM154845v1,"Japan, Nagano",Suwa Shrine,rock,NA,36.075287 N 140.25046 E,NA,temperate,2,1,2,1,0,8,1,10,1,12,5,1,2,1,1,1,0,4,0,2,2,4,10,4,1,8,8,1,10,10,1,1,9
Fischerella_thermalis_PCC_7521,_000317225.1_,GCF_000317225.1,Fischerella thermalis PCC 7521,d__Bacteria;p__Cyanobacteria;c__;o__Nostocales;f__Hapalosiphonaceae;g__Fischerella;s__Fischerella thermalis,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Fischerella;s__Fischerella thermalis,TRUE,not type material,full,99.76,0.48,41.01531535,5438272,141,USA: Yellowstone National Park,2012-12-05,water; hot spring; Mammoth Sinkhole II,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,warm-hot,2,1,2,1,0,8,1,9,1,10,5,1,2,1,1,1,0,4,0,2,2,4,9,4,1,8,8,1,9,9,1,1,10
Fortiea_contorta_PCC_7126,_000332295.1_,GCF_000332295.1,Fortiea contorta PCC 7126,d__Bacteria;p__Cyanobacteria;c__;o__Nostocales;f__Fortieaceae;g__Fortiea;s__Fortiea contorta,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Fortiea;s__Fortiea contorta,TRUE,not type material,full,99.56,0.22,42.20327394,5742264,5,USA,2013-01-22,freshwater aquarium,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,1,7,1,8,1,14,5,1,2,1,2,1,0,4,0,2,7,2,6,2,1,6,6,1,6,6,1,1,8
Geitlerinema_sp_BBD_1991-9,_001657325.1_,GCA_001657325.1,Geitlerinema sp. BBD 1991-9,d__Bacteria;p__Cyanobacteria;c__;o__Oscillatoriales;f__Coleofasciculaceae;g__Geitlerinema;s__,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae;g__Geitlerinema;s__Geitlerinema sp001657325,TRUE,not type material,full,99.76,0.47,50.2581018,5982965,118,USA,2016-06-03,enrichment culture inoculated with black band disease microbial mat,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,0,1,5,1,7,1,10,5,1,2,1,1,1,1,4,0,1,4,2,2,2,1,4,4,1,2,3,1,1,8
Geitlerinema_sp_PCC_7407,_000317045.1_,GCF_000317045.1,Geitlerinema sp. PCC 7407,d__Bacteria;p__Cyanobacteria;c__;o__Oscillatoriales;f__Coleofasciculaceae;g__Geitlerinema;s__,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__PCC-7407;f__PCC-7407;g__PCC-7407;s__PCC-7407 sp000317045,TRUE,not type material,NA,99.87,0.71,58.46308707,4681111,NA,NA,NA,NA,NA,NA,Complete Genome,3838,GCA_000317045.1,ASM31704v1,NA,NA,NA,NA,NA,NA,NA,2,1,2,1,1,6,2,6,1,12,4,1,2,2,1,1,0,4,1,0,6,2,5,2,1,2,2,1,5,5,1,1,6
Geitlerinema_sp_PCC_9228,_001870905.1_,GCF_001870905.1,Geitlerinema sp. PCC 9228,d__Bacteria;p__Cyanobacteria;c__;o__Oscillatoriales;f__Coleofasciculaceae;g__Geitlerinema;s__,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Geitlerinemaceae_A;g__PCC-9228;s__PCC-9228 sp001870905,TRUE,not type material,full,99.37,1.63,48.82062567,4795982,257,Israel: Solar Lake,2016-11-08,water,34,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,1,6,1,8,1,14,4,1,2,2,1,1,1,4,0,1,1,6,5,6,1,5,5,1,4,8,1,1,8
Geminocystis_herdmanii_PCC_6308,_000332235.1_,GCF_000332235.1,Geminocystis herdmanii PCC 6308,d__Bacteria;p__Cyanobacteria;c__;o__Chroococcales;f__Chroococcaceae;g__Geminocystis;s__Geminocystis herdmanii,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Cyanobacteriaceae;g__Geminocystis;s__Geminocystis herdmanii,TRUE,type strain of species,full,99.78,0,34.283944,4263418,11,USA,2013-01-22,unialgal culture in lake water,10,0,NA,NA,NA,NA,NA,NA,freshwater pond,NA,NA,NA,NA,2,1,1,1,0,9,1,6,1,9,5,1,3,0,1,1,0,5,0,1,3,2,5,2,1,3,3,1,5,5,1,1,5
Geminocystis_sp_NIES-3708,_001548095.1_,GCF_001548095.1,Geminocystis sp. NIES-3708,d__Bacteria;p__Cyanobacteria;c__;o__Chroococcales;f__Chroococcaceae;g__Geminocystis;s__,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Cyanobacteriaceae;g__Geminocystis;s__Geminocystis sp001548095,TRUE,not type material,full,99.78,0.44,32.28933237,4042078,6,Japan:Chiba; Narashino; Mimomi 2; Mimomi-Hongo Park,2015-03-18,water,0,0,Complete Genome,3608,GCA_001548095.1,Gm3709_assembly_1.0,Japan,Mimomi-Hongo Park,fresh water,NA,35.6845 N 140.064 E,NA,temperate,2,1,1,1,0,6,2,6,1,9,5,1,3,0,1,1,0,4,0,1,4,2,4,2,1,3,3,1,4,4,1,1,5
Geminocystis_sp_NIES-3709,_001548115.1_,GCF_001548115.1,Geminocystis sp. NIES-3709,d__Bacteria;p__Cyanobacteria;c__;o__Chroococcales;f__Chroococcaceae;g__Geminocystis;s__,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Cyanobacteriaceae;g__Geminocystis;s__Geminocystis sp001548115,TRUE,not type material,full,99.78,0.07,33.3583443,4426059,12,Japan:Chiba; Narashino; Mimomi 2; Mimomi-Hongo Park,2015-03-18,water,0,0,Complete Genome,3857,GCA_001548115.1,Gm3709_assembly_1.0,"boulder CO, Japan also?",NA,freshwater lake,NA,35.6845 N 140.064 E,NA,temperate,2,1,1,1,0,5,1,6,1,9,5,1,3,0,2,1,0,4,0,1,2,2,5,2,1,3,3,1,5,5,1,1,5
Gloeobacter_kilaueensis_JS1,_000484535.1_,GCF_000484535.1,Gloeobacter kilaueensis JS1,d__Bacteria;p__Cyanobacteria;c__Gloeobacteria;o__Gloeobacterales;f__Gloeobacteraceae;g__Gloeobacter;s__Gloeobacter kilaueensis,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Gloeobacterales;f__Gloeobacteraceae;g__Gloeobacter;s__Gloeobacter kilaueensis,TRUE,type strain of species,NA,98.29,1.14,60.53681528,4724791,NA,NA,NA,NA,NA,NA,Complete Genome,4479,GCA_000484535.1,ASM48453v1,"K_lauea Caldera, Hawai'i",Lava Cave,tropical,30-40 C,NA,30-40,warm-hot,2,1,1,1,1,6,1,5,1,8,5,1,2,3,3,1,0,2,0,1,3,2,7,2,1,2,2,1,7,7,1,1,4
Gloeobacter_violaceus_PCC_7421,_000011385.1_,GCF_000011385.1,Gloeobacter violaceus PCC 7421,d__Bacteria;p__Cyanobacteria;c__Gloeobacteria;o__Gloeobacterales;f__Gloeobacteraceae;g__Gloeobacter;s__Gloeobacter violaceus,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Gloeobacterales;f__Gloeobacteraceae;g__Gloeobacter;s__Gloeobacter violaceus,TRUE,type strain of species,NA,99.15,0.85,61.99785835,4659019,NA,NA,NA,NA,NA,NA,Complete Genome,4517,GCA_000011385.1,ASM1138v1,Switzerland,calcareous rock,NA,NA,NA,NA,NA,2,1,1,1,1,6,1,4,2,12,5,1,2,4,3,1,0,3,0,1,5,2,6,2,1,2,2,1,6,6,1,1,4
Gloeocapsa_sp_PCC_7428,_000317555.1_,GCF_000317555.1,Gloeocapsa sp. PCC 7428,d__Bacteria;p__Cyanobacteria;c__;o__Chroococcales;f__Chroococcaceae;g__Gloeocapsa;s__,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Chroococcidiopsidaceae;g__Chroogloeocystis;s__Chroogloeocystis sp000317555,TRUE,not type material,NA,99.78,0.33,43.36157995,5882710,NA,NA,NA,NA,NA,NA,Complete Genome,5250,GCA_000317555.1,ASM31755v1,NA,hot spring,freshwater moderate hot spring,NA,NA,NA,warm-hot,2,1,1,1,0,5,1,8,1,14,5,1,2,2,1,1,1,4,0,1,7,3,7,3,1,4,5,1,7,7,1,1,8
Gloeothece_citriformis_PCC_7424,_000021825.1_,GCF_000021825.1,Gloeothece citriformis PCC 7424,d__Bacteria;p__Cyanobacteria;c__;o__Chroococcales;f__Aphanothecaceae;g__Gloeothece;s__Gloeothece citriformis,d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcystaceae;g__Gloeothece;s__Gloeothece citriformis,TRUE,not type material,NA,99.71,0,38.50980956,6554169,NA,NA,NA,NA,NA,NA,Complete Genome,5914,GCA_000021825.1,ASM2182v1,"Senegal, Africa",soil,"Soil of a rice field, tropical biome",NA,NA,NA,temperate,2,1,1,1,1,8,1,7,1,13,6,1,3,2,1,1,1,4,0,1,4,3,7,3,1,3,3,1,7,7,1,2,7
Gloeothece_verrucosa_PCC_7822,_000147335.1_,GCF_000147335.1,Gloeothece verrucosa PCC 7822,d__Bacteria;p__Cyanobacteria;c__;o__Chroococcales;f__Aphanothecaceae;g__Gloeothece;s__Gloeothece verrucosa,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcystaceae;g__Gloeothece;s__Gloeothece verrucosa,TRUE,type strain of species,full,99.82,0.88,39.89581415,7841948,7,India: Cuttack; Orissa,2010-09-15,fresh water in rice field,0,0,Complete Genome,6996,GCA_000147335.1,ASM14733v1,"Rice fields of Central Rice Research Institute, Cuttack, Orissa, India",soil,"Soil of rice fields, tropical biome",NA,NA,NA,temperate,2,1,1,1,0,8,1,9,1,14,4,1,3,2,1,1,1,4,0,1,8,3,6,3,1,2,2,1,6,6,1,2,7
Halothece_sp_PCC_7418,_000317635.1_,GCF_000317635.1,Halothece sp. PCC 7418,d__Bacteria;p__Cyanobacteria;c__;o__Chroococcales;f__Aphanothecaceae;g__Halothece;s__,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Rubidibacteraceae;g__Halothece;s__Halothece sp000317635,TRUE,not type material,full,99.48,0.22,42.92254204,4179170,1,Israel: Solar lake,2012-12-07,Water; lake; Solar lake,0,0,Complete Genome,3848,GCA_000317635.1,ASM31763v1,Israel,"Water, lake, Solar lake,",saltwater lake,NA,NA,40-60,warm-hot,2,1,1,1,1,6,1,7,1,12,5,1,2,2,1,2,2,3,0,1,2,2,7,2,1,4,4,1,7,7,1,1,8
Hapalosiphon_sp_MRB220,_001275395.1_,GCF_001275395.1,Hapalosiphon sp. MRB220,d__Bacteria;p__Cyanobacteria;c__;o__Nostocales;f__Hapalosiphonaceae;g__Hapalosiphon;s__,d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Pelatocladus;s__Pelatocladus sp000447295,FALSE,not type material,full,99.52,0.24,40.21215578,7429720,171,Singapore,2015-08-27,Freshwater reservoir,56,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,1,1,6,1,9,1,14,5,1,2,1,1,1,0,4,1,2,4,3,8,3,1,2,2,1,8,8,1,1,10
